Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.6806784,0.3010184,0.2437599,-7.061348,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.01068044,0.05975684,0.1301244,2.063935
"0.01 sec",0.6806784,0.3010184,0.2437599,-7.061348,-1.393645e-07,2.483969e-08,-6.999608,-5.269875e-05,9.384959e-06,0.07798995,0.001234999,0.006958231,0.001246168,0.202506,1.134805,0.1288205,2.063785,0.03497974,-0.1372087,0.2343529,3.926652
"0.02 sec",0.6806784,0.3010184,0.2437599,-7.061348,-1.919442e-06,6.050189e-07,-6.998529,-0.0002333615,0.0001412553,0.137302,0.003522107,-0.003501854,0.006304527,0.6867994,-2.473047,0.2491223,3.926551,0.0701853,-0.09440901,0.30159,5.631926
"0.03 sec",0.6806784,0.3010184,0.2437599,-7.061348,-9.680875e-07,4.671665e-06,-6.996943,0.0006544297,0.0007836923,0.1795324,0.00648996,-0.02790724,0.01754768,1.377206,-2.298,0.3402393,5.6318,0.08993815,-0.05133875,0.2920929,7.872473
"0.04 sec",0.6806784,0.3010184,0.2437599,-7.061348,1.881503e-05,2.141107e-05,-6.995044,0.003517057,0.002789568,0.1995618,0.0094028,-0.04350623,0.03360184,1.703761,-0.9728766,0.3237954,7.871391,0.07849938,-0.05946506,0.3129941,8.837534
"0.05 sec",0.6806784,0.3010184,0.2437599,-7.061348,7.41527e-05,6.660463e-05,-6.992997,0.007663524,0.006476215,0.2097099,0.01251618,-0.05086736,0.04826039,1.260727,-0.5184216,0.3376378,8.836982,0.07128453,-0.06351185,0.3690689,10.57113
"0.06 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0001778875,0.0001589544,-6.990932,0.01317659,0.01218748,0.2028433,0.0161758,-0.05533305,0.05788306,0.7462841,-0.3442187,0.3889294,10.57062,0.06509127,-0.06077971,0.3768827,12.50748
"0.07 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0003439073,0.0003185694,-6.989032,0.02010135,0.01986918,0.1767952,0.01993989,-0.05801746,0.06276961,0.327013,-0.1655121,0.3873637,12.50703,0.05909074,-0.05021837,0.3856377,13.08037
"0.08 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0005819933,0.0005594388,-6.987423,0.02751973,0.02834503,0.1447247,0.02379172,-0.05816881,0.06404343,0.02354832,0.1282692,0.3775496,13.07964,0.0537351,0.01509714,0.3993023,13.30487
"0.09 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0008934067,0.0008861985,-6.986148,0.03455325,0.03698273,0.1102998,0.02777704,-0.04905626,0.06285968,-0.1735166,1.437982,0.3089525,13.29758,0.04811357,0.0339583,0.4230815,13.2965
"0.1 sec",0.71988,0.2902867,0.2547269,-7.062908,0.001266662,0.001298073,-6.985218,0.03970148,0.04532193,0.07579821,0.03199308,-0.03148532,0.06009015,-0.3072288,1.928181,0.3073067,13.29733,0.04171408,-0.05253238,0.4416664,13.13471
"0.11 sec",0.71988,0.2902867,0.2547269,-7.062908,0.001680199,0.001790532,-6.984625,0.04283006,0.05307757,0.04277689,0.03639844,-0.02329319,0.05617785,-0.4116458,0.06924229,0.4383275,13.13707,0.0449168,0.02518187,0.4509695,12.8265
"0.12 sec",0.71988,0.2902867,0.2547269,-7.062908,0.002121314,0.00235703,-6.984347,0.04525916,0.06013644,0.0127501,0.04090234,-0.01739398,0.05251952,-0.3023473,0.9541314,0.4012159,12.82734,0.04297208,0.01842623,0.4634847,12.28851
"0.13 sec",0.71988,0.2902867,0.2547269,-7.062908,0.002581316,0.002990452,-6.984344,0.04654427,0.06647591,-0.01200234,0.04552936,-0.008018697,0.04969185,-0.2472775,0.9194605,0.4181952,12.28899,0.04049924,0.01063831,0.4687713,11.53852
"0.14 sec",0.71988,0.2902867,0.2547269,-7.062908,0.003048518,0.003683593,-6.984552,0.04675565,0.07208928,-0.02934278,0.05021342,-0.0008335271,0.04723302,-0.2307441,0.5851066,0.4415683,11.53961,0.03353416,-0.008303991,0.4679906,10.9321
"0.15 sec",0.71988,0.2902867,0.2547269,-7.062908,0.003514536,0.004429834,-6.984902,0.04640747,0.07709672,-0.04060416,0.05489338,0.001446055,0.04435282,-0.3141192,0.01071346,0.4679742,10.93285,0.02627936,-0.02906475,0.4634125,10.56916
"0.16 sec",0.71988,0.2902867,0.2547269,-7.062908,0.003976936,0.005223583,-6.985347,0.04613884,0.08158422,-0.04819318,0.05953052,-0.002157055,0.04049451,-0.416174,-0.5614517,0.4866613,10.5698,0.02135275,-0.04017662,0.4562757,10.18903
