Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0 sec",0.1680236,-0.170447,1.195928,0.5,0,0,-7,0,0,0,0.2132964,0.3284477,-6.979475,0.9948376
"0.01 sec",0.1672208,-0.1712344,1.195928,0.5,1.14941929041379e-06,1.13733074158517e-06,-6.9997935295105,0.004721938,-0.01987457,0.0195407,0.2132964,0.3284477,-6.979475,0.9948376
"0.02 sec",0.1663776,-0.1720534,1.195928,0.5,1.4827342965873e-05,1.4729917893419e-05,-6.99920320510864,0.009658886,-0.05565576,0.05446329,0.2132964,0.3284477,-6.979475,0.9948376
"0.03 sec",0.1655294,-0.1728689,1.195928,0.5,6.12525618635118e-05,6.10682545811869e-05,-6.99822807312012,0.01460128,-0.08956756,0.08720598,0.2132964,0.3284477,-6.979475,0.9948376
"0.04 sec",0.1047867,-0.1095893,1.874361,0.5,0.000159813062055036,0.000159894916578196,-6.99686527252197,0.01956533,-0.1164162,0.1127276,0.2132964,0.3284477,-6.979475,0.9948376
"0.05 sec",0.07030205,-0.07403187,2.776445,0.5,0.00034438690636307,0.000345963751897216,-6.99527025222778,0.024556,-0.1284856,0.123886,0.2132964,0.3284477,-6.979475,0.9948376
"0.06 sec",0.06993146,-0.07438195,2.776445,0.5,0.000670502311550081,0.000676573195960373,-6.99382781982422,0.02955442,-0.1244164,0.1196113,0.2132964,0.3284477,-6.979475,0.9948376
"0.07 sec",0.06955951,-0.07472983,2.776445,0.5,0.00116194877773523,0.00117703340947628,-6.9927716255188,0.03454791,-0.113322,0.1086376,0.2132964,0.3284477,-6.979475,0.9948376
"0.08 sec",0.06918585,-0.07507581,2.776445,0.5,0.00180419348180294,0.00183332047890872,-6.99210596084595,0.03954125,-0.1022691,0.09765737,0.2132964,0.3284477,-6.979475,0.9948376
"0.09 sec",0.07348003,-0.08056702,2.600287,0.5,0.00258228881284595,0.00263067684136331,-6.99183320999146,0.04453683,-0.09346006,0.08873992,0.2132964,0.3284477,-6.979475,0.9948376
"0.1 sec",0.1594229,-0.1785077,1.195928,0.5,0.00348055711947381,0.00355325383134186,-6.99191474914551,0.04953476,-0.08774448,0.08266649,0.1988211,0.3426622,-6.966582,1.04818
"0.11 sec",0.1585338,-0.1792959,1.195928,0.5,0.00446051545441151,0.00456106243655086,-6.99197483062744,0.05453116,-0.09596832,0.08898717,0.1988211,0.3426622,-6.966582,1.04818
"0.12 sec",0.1576428,-0.180078,1.195928,0.5,0.00549504812806845,0.00562553899362683,-6.99164724349976,0.0595168,-0.1147814,0.104578,0.1988211,0.3426622,-6.966582,1.04818
