Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0 sec",0.07209702,-0.07228513,2.776445,0.5,0,0,-7,0,0,0,0.2678547,0.2678547,-7.1015,0.7853982
"0.01 sec",0.0717539,-0.07262573,2.776444,0.5,1.13170335680479e-06,1.13295118353562e-06,-7.000168800354,0.00473965,-0.008428808,0.008384466,0.2678547,0.2678547,-7.1015,0.7853982
"0.02 sec",0.07139104,-0.07298243,2.776445,0.5,1.46039956234745e-05,1.46735746966442e-05,-7.0007438659668,0.009728186,-0.02360488,0.02336394,0.2678547,0.2678547,-7.1015,0.7853982
"0.03 sec",0.07102633,-0.07333738,2.776445,0.5,6.03781081736088e-05,6.08401278441306e-05,-7.00172567367554,0.01471773,-0.03799008,0.03739883,0.2678547,0.2678547,-7.1015,0.7853982
"0.04 sec",0.07065956,-0.07369078,2.776444,0.5,0.000157703558215871,0.000159321512910537,-7.00311231613159,0.01971122,-0.04938135,0.04833391,0.2678547,0.2678547,-7.1015,0.7853982
"0.05 sec",0.07029082,-0.07404253,2.776444,0.5,0.000321772618917748,0.00032584514701739,-7.00490283966064,0.02470787,-0.05767507,0.05610422,0.2678547,0.2678547,-7.1015,0.7853982
"0.06 sec",0.06992018,-0.07439256,2.776445,0.5,0.000563497946131974,0.00057186622871086,-7.00709629058838,0.02970633,-0.06344487,0.06130621,0.2678547,0.2678547,-7.1015,0.7853982
"0.07 sec",0.1273531,-0.137692,1.519102,0.5,0.000890298746526241,0.000905294378753752,-7.00969171524048,0.03470569,-0.06736399,0.0646254,0.2678547,0.2678547,-7.1015,0.7853982
"0.08 sec",0.1611614,-0.1769428,1.195928,0.5,0.00128792144823819,0.00131166668143123,-7.01239061355591,0.03970134,-0.07734482,0.0733643,0.2678547,0.2678547,-7.1015,0.7853982
"0.09 sec",0.1602822,-0.1777381,1.195928,0.5,0.00173630274366587,0.00177029985934496,-7.01478815078735,0.04468497,-0.09685177,0.09053425,0.2678547,0.2678547,-7.1015,0.7853982
"0.1 sec",0.1594,-0.1785281,1.195928,0.5,0.00223987619392574,0.00228560110554099,-7.01679706573486,0.04966396,-0.1187177,0.1095362,0.2907309,0.2649871,-7.056235,0.7386438
"0.11 sec",0.1585128,-0.1793145,1.195928,0.5,0.00281033245846629,0.00286950962617993,-7.0184154510498,0.05464912,-0.1371965,0.1252294,0.2907309,0.2649871,-7.056235,0.7386438
