Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0 sec",0.07209702,-0.07228513,2.776445,0.5,0,0,-7,0,0,0,0.3375166,0.1719733,-7.1015,0.4712389
"0.01 sec",0.0717539,-0.07262573,2.776444,0.5,1.13170335680479e-06,1.13295118353562e-06,-7.000168800354,0.00473965,-0.008428808,0.008384466,0.3375166,0.1719733,-7.1015,0.4712389
"0.02 sec",0.07139104,-0.07298243,2.776445,0.5,1.46039956234745e-05,1.46735746966442e-05,-7.0007438659668,0.009728186,-0.02360488,0.02336394,0.3375166,0.1719733,-7.1015,0.4712389
"0.03 sec",0.07102633,-0.07333738,2.776445,0.5,6.03781081736088e-05,6.08401278441306e-05,-7.00172567367554,0.01471773,-0.03799008,0.03739883,0.3375166,0.1719733,-7.1015,0.4712389
"0.04 sec",0.07065956,-0.07369078,2.776444,0.5,0.000157703558215871,0.000159321512910537,-7.00311231613159,0.01971122,-0.04938135,0.04833391,0.3375166,0.1719733,-7.1015,0.4712389
"0.05 sec",0.07029082,-0.07404253,2.776444,0.5,0.000321772618917748,0.00032584514701739,-7.00490283966064,0.02470787,-0.05767507,0.05610422,0.3375166,0.1719733,-7.1015,0.4712389
"0.06 sec",0.06992018,-0.07439256,2.776445,0.5,0.000563497946131974,0.00057186622871086,-7.00709629058838,0.02970633,-0.06344487,0.06130621,0.3375166,0.1719733,-7.1015,0.4712389
"0.07 sec",0.1273531,-0.137692,1.519102,0.5,0.000890298746526241,0.000905294378753752,-7.00969171524048,0.03470569,-0.06736399,0.0646254,0.3375166,0.1719733,-7.1015,0.4712389
"0.08 sec",0.1611614,-0.1769428,1.195928,0.5,0.00128792144823819,0.00131166668143123,-7.01239061355591,0.03970134,-0.07734482,0.0733643,0.3375166,0.1719733,-7.1015,0.4712389
"0.09 sec",0.1602822,-0.1777381,1.195928,0.5,0.00173630274366587,0.00177029985934496,-7.01478815078735,0.04468497,-0.09685177,0.09053425,0.3375166,0.1719733,-7.1015,0.4712389
"0.1 sec",0.1594,-0.1785281,1.195928,0.5,0.00223987619392574,0.00228560110554099,-7.01679706573486,0.04966396,-0.1187177,0.1095362,0.3558912,0.1660773,-7.060358,0.4337311
"0.11 sec",0.1585128,-0.1793145,1.195928,0.5,0.00281033245846629,0.00286950962617993,-7.0184154510498,0.05464912,-0.1371965,0.1252294,0.3558912,0.1660773,-7.060358,0.4337311
"0.12 sec",0.1576205,-0.1800974,1.195928,0.5,0.00345750735141337,0.00353220547549427,-7.01964092254639,0.059641,-0.1511533,0.1366588,0.3558912,0.1660773,-7.060358,0.4337311
"0.13 sec",0.1567237,-0.1808763,1.195928,0.5,0.00418868009001017,0.00428134482353926,-7.02047061920166,0.06463721,-0.1611174,0.1443589,0.3558912,0.1660773,-7.060358,0.4337311
"0.14 sec",0.1558226,-0.181651,1.195928,0.5,0.00500888656824827,0.00512231234461069,-7.02090358734131,0.06963565,-0.1680353,0.1492239,0.3558912,0.1660773,-7.060358,0.4337311
"0.15 sec",0.1549175,-0.1824211,1.195928,0.5,0.00592146534472704,0.00605874182656407,-7.02093839645386,0.07463511,-0.1727983,0.1520847,0.3558912,0.1660773,-7.060358,0.4337311
"0.16 sec",0.1540086,-0.1831867,1.195928,0.5,0.00692856917157769,0.00709301838651299,-7.02057456970215,0.07963498,-0.1761061,0.1535899,0.3558912,0.1660773,-7.060358,0.4337311
"0.17 sec",0.1530959,-0.1839475,1.195928,0.5,0.00803155358880758,0.00822667498141527,-7.01981163024902,0.084635,-0.1784615,0.1542045,0.3558912,0.1660773,-7.060358,0.4337311
"0.18 sec",0.0315933,-0.09316886,2.227499,0.5,0.00923126190900803,0.0094606839120388,-7.01864910125732,0.08963508,-0.1802073,0.1542456,0.3558912,0.1660773,-7.060358,0.4337311
"0.19 sec",-0.04157307,-0.06867123,2.77092,0.5,0.0105671668425202,0.010835493914783,-7.01732540130615,0.09462694,-0.1708911,0.139902,0.3558912,0.1660773,-7.060358,0.4337311
"0.2 sec",-0.1840705,-0.1529475,1.195928,0.5,0.0120934629812837,0.0123992217704654,-7.01623392105103,0.09958991,-0.1498801,0.1058547,0.3747928,0.1573962,-7.051156,0.3803097
"0.21 sec",-0.1517041,-0.1241597,1.454316,0.5,0.0137615753337741,0.0140881221741438,-7.01515436172485,0.104553,-0.137157,0.0499803,0.3747928,0.1573962,-7.051156,0.3803097
"0.22 sec",-0.08148136,-0.06552653,2.711169,0.5,0.0155162764713168,0.0158178843557835,-7.01374673843384,0.1095389,-0.1327556,-0.009320008,0.3747928,0.1573962,-7.051156,0.3803097
"0.23 sec",-0.07987905,-0.06357672,2.776444,0.5,0.0174061544239521,0.017549641430378,-7.01237487792969,0.1145204,-0.1227424,-0.04737893,0.3747928,0.1573962,-7.051156,0.3803097
"0.24 sec",-0.08019481,-0.06317766,2.776444,0.5,0.0194692388176918,0.0192380361258984,-7.01138019561768,0.1195058,-0.1081492,-0.06564347,0.3747928,0.1573962,-7.051156,0.3803097
"0.25 sec",-0.08050907,-0.06277635,2.776445,0.5,0.0216916892677546,0.0208549480885267,-7.01078224182129,0.1244992,-0.09481792,-0.07409728,0.3747928,0.1573962,-7.051156,0.3803097
"0.26 sec",-0.08082159,-0.06237314,2.776445,0.5,0.0240572467446327,0.022386709228158,-7.01058101654053,0.1294968,-0.08442384,-0.07792037,0.3747928,0.1573962,-7.051156,0.3803097
"0.27 sec",-0.09330627,-0.07133219,2.415045,0.4916277,0.0265527907758951,0.0238266512751579,-7.01077795028687,0.1344959,-0.07690466,-0.07962696,0.3747928,0.1573962,-7.051156,0.3803097
"0.28 sec",-0.1089535,-0.08255859,2.077033,0.4817876,0.0291616208851337,0.0251773297786713,-7.0112886428833,0.1394159,-0.07276292,-0.08182921,0.3747928,0.1573962,-7.051156,0.3803097
"0.29 sec",-0.1204222,-0.09043701,1.886859,0.4721418,0.0318645909428596,0.0264479871839285,-7.01193857192993,0.1442388,-0.07249097,-0.08657366,0.3747928,0.1573962,-7.051156,0.3803097
"0.3 sec",0.06058277,-0.08217088,2.776444,0.4637448,0.0346510894596577,0.0276438593864441,-7.01259469985962,0.1489662,-0.07527322,-0.09376328,0.3905919,0.1701574,-7.095,0.3808386
"0.31 sec",0.06020126,-0.08245051,2.776445,0.4544643,0.0375390648841858,0.0287479422986507,-7.0134162902832,0.1536065,-0.07814534,-0.0801399,0.3905919,0.1701574,-7.095,0.3808386
"0.32 sec",0.0598262,-0.08272277,2.776444,0.4453712,0.0405503325164318,0.0297606363892555,-7.01463603973389,0.158153,-0.07992853,-0.04845644,0.3905919,0.1701574,-7.095,0.3808386
"0.33 sec",0.05945738,-0.08298795,2.776445,0.4364583,0.0436814278364182,0.0307242106646299,-7.01625728607178,0.1626095,-0.08109069,-0.01741035,0.3905919,0.1701574,-7.095,0.3808386
"0.34 sec",0.05909473,-0.0832463,2.776445,0.427722,0.0469274260103703,0.031681377440691,-7.01828098297119,0.1669776,-0.08187144,0.007300558,0.3905919,0.1701574,-7.095,0.3808386
