Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0 sec",0.07209702,-0.07228513,2.776445,0.5,0,0,-7,0,0,0,0.2437599,0.3010184,-7.061348,0.8901179
"0.01 sec",0.0717539,-0.07262573,2.776444,0.5,1.13170335680479e-06,1.13295118353562e-06,-7.000168800354,0.00473965,-0.008428808,0.008384466,0.2437599,0.3010184,-7.061348,0.8901179
"0.02 sec",0.07139104,-0.07298243,2.776445,0.5,1.46039956234745e-05,1.46735746966442e-05,-7.0007438659668,0.009728186,-0.02360488,0.02336394,0.2437599,0.3010184,-7.061348,0.8901179
"0.03 sec",0.07102633,-0.07333738,2.776445,0.5,6.03781081736088e-05,6.08401278441306e-05,-7.00172567367554,0.01471773,-0.03799008,0.03739883,0.2437599,0.3010184,-7.061348,0.8901179
"0.04 sec",0.07065956,-0.07369078,2.776444,0.5,0.000157703558215871,0.000159321512910537,-7.00311231613159,0.01971122,-0.04938135,0.04833391,0.2437599,0.3010184,-7.061348,0.8901179
"0.05 sec",0.07029082,-0.07404253,2.776444,0.5,0.000321772618917748,0.00032584514701739,-7.00490283966064,0.02470787,-0.05767507,0.05610422,0.2437599,0.3010184,-7.061348,0.8901179
"0.06 sec",0.1457645,-0.1564349,1.335441,0.5,0.000563497946131974,0.00057186622871086,-7.00709629058838,0.02970633,-0.06344487,0.06130621,0.2437599,0.3010184,-7.061348,0.8901179
"0.07 sec",0.1620401,-0.1761399,1.195928,0.5,0.000869409181177616,0.000883785774931312,-7.00935077667236,0.03469814,-0.07692973,0.07344735,0.2437599,0.3010184,-7.061348,0.8901179
"0.08 sec",0.1611658,-0.1769389,1.195928,0.5,0.00122254528105259,0.00124416255857795,-7.01125526428223,0.03967655,-0.09900367,0.09321056,0.2437599,0.3010184,-7.061348,0.8901179
"0.09 sec",0.1602876,-0.1777333,1.195928,0.5,0.0016322408337146,0.00166246201843023,-7.01277160644531,0.04465465,-0.1210954,0.1126695,0.2437599,0.3010184,-7.061348,0.8901179
"0.1 sec",0.1594041,-0.1785244,1.195928,0.5,0.00211042212322354,0.00215091742575169,-7.01389646530151,0.04964046,-0.1390243,0.128067,0.2315068,0.318862,-7.043324,0.9439419
"0.11 sec",0.1585156,-0.179312,1.195928,0.5,0.00266667036339641,0.00271949963644147,-7.0146279335022,0.05463307,-0.1522969,0.1390247,0.2315068,0.318862,-7.043324,0.9439419
