Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0.27 sec",0.02381201,-0.07518695,2.763772,0.2301936,0.0286622121930122,0.0190357267856598,-7.00722980499268,0.09928691,-0.1019231,-0.09708364,0.3969442,0.09673086,-7.030321,0.2143837
"0.28 sec",0.05581955,-0.08877229,2.42712,0.2255543,0.0313760936260223,0.0192878823727369,-7.00689458847046,0.1016065,-0.09219497,-0.06697156,0.3969442,0.09673086,-7.030321,0.2143837
"0.29 sec",0.08293784,-0.1026577,2.15088,0.2210227,0.0342185907065868,0.0194648187607527,-7.00687170028687,0.1038723,-0.08746533,-0.03613593,0.3969442,0.09673086,-7.030321,0.2143837
"0.3 sec",0.06404596,-0.07950361,2.776444,0.3093284,0.0371656715869904,0.0196102373301983,-7.00701093673706,0.1060846,-0.08790422,-0.005413772,0.4151191,0.1204571,-7.034862,0.2607488
"0.31 sec",0.06484843,-0.08100957,2.731774,0.303234,0.0402202047407627,0.0197612531483173,-7.0073881149292,0.1091318,-0.08826871,0.01921166,0.4151191,0.1204571,-7.034862,0.2607488
"0.32 sec",0.09391967,-0.1183878,1.880501,0.2971608,0.0433924496173859,0.0199507810175419,-7.00815582275391,0.1121684,-0.08687966,0.03573206,0.4151191,0.1204571,-7.034862,0.2607488
"0.33 sec",0.118451,-0.1507052,1.486773,0.2912149,0.0466609410941601,0.0201917719095945,-7.00910139083862,0.1151413,-0.08967812,0.04994886,0.4151191,0.1204571,-7.034862,0.2607488
"0.34 sec",0.1234036,-0.158071,1.422148,0.2854005,0.0500002093613148,0.0204831585288048,-7.00990867614746,0.1180485,-0.09994639,0.06581557,0.4151191,0.1204571,-7.034862,0.2607488
"0.35 sec",0.1139811,-0.1466639,1.533574,0.2797089,0.0534059777855873,0.0208305511623621,-7.01045751571655,0.1208943,-0.1139433,0.08160575,0.4151191,0.1204571,-7.034862,0.2607488
"0.36 sec",0.1021536,-0.1320006,1.7043,0.2741237,0.0568874217569828,0.021247586235404,-7.01075601577759,0.1236869,-0.1256156,0.09358102,0.4151191,0.1204571,-7.034862,0.2607488
"0.37 sec",0.09312081,-0.1208834,1.862482,0.2686399,0.0604592524468899,0.0217516180127859,-7.01087045669556,0.1264288,-0.1316679,0.09990982,0.4151191,0.1204571,-7.034862,0.2607488
"0.38 sec",0.08752453,-0.1141834,1.974348,0.2632618,0.0641348734498024,0.0223579742014408,-7.01088237762451,0.1291179,-0.132328,0.1012637,0.4151191,0.1204571,-7.034862,0.2607488
"0.39 sec",0.09063206,-0.06776969,2.028741,0.2579917,0.0679224506020546,0.0230762455612421,-7.01085710525513,0.1317529,-0.1295167,0.09944558,0.4151191,0.1204571,-7.034862,0.2607488
"0.4 sec",-0.1892529,-0.1464584,1.195928,0.1333388,0.0718237906694412,0.0239096879959106,-7.0108380317688,0.1343343,-0.1202376,0.09692306,0.4559063,0.1021685,-7.023113,0.2010037
"0.41 sec",-0.1894561,-0.1461943,1.195928,0.1305526,0.0758125483989716,0.0248329378664494,-7.01064491271973,0.1357274,-0.116248,0.06233101,0.4559063,0.1021685,-7.023113,0.2010037
"0.42 sec",-0.1896483,-0.1459436,1.195928,0.1279115,0.0798654332756996,0.0258013978600502,-7.01006364822388,0.1370479,-0.1208359,0.002380287,0.4559063,0.1021685,-7.023113,0.2010037
"0.43 sec",-0.124675,-0.09483287,1.814767,0.1253135,0.0839895531535149,0.0267813559621572,-7.00909471511841,0.1383469,-0.127145,-0.05381279,0.4559063,0.1021685,-7.023113,0.2010037
"0.44 sec",-0.08644155,-0.06535079,2.616402,0.1228013,0.0882125124335289,0.0277334861457348,-7.00788259506226,0.139603,-0.1267967,-0.090294,0.4559063,0.1021685,-7.023113,0.2010037
"0.45 sec",-0.08152257,-0.06145326,2.776445,0.1203555,0.0925848484039307,0.0286071822047234,-7.00677394866943,0.1408259,-0.1169954,-0.1039058,0.4559063,0.1021685,-7.023113,0.2010037
"0.46 sec",-0.08159647,-0.061355,2.776444,0.1179469,0.0971307754516602,0.029365872964263,-7.00601387023926,0.1420302,-0.1033979,-0.1041476,0.4559063,0.1021685,-7.023113,0.2010037
"0.47 sec",-0.08897844,-0.06677678,2.548893,0.1155802,0.101838283240795,0.0300023835152388,-7.00564622879028,0.1432136,-0.09096081,-0.0998051,0.4559063,0.1021685,-7.023113,0.2010037
"0.48 sec",-0.09602472,-0.0486994,2.275097,0.1132623,0.106684722006321,0.0305244624614716,-7.00561952590942,0.1443725,-0.0819391,-0.09575099,0.4559063,0.1021685,-7.023113,0.2010037
"0.49 sec",-0.03438824,0.0526375,2.059461,0.1109932,0.111645601689816,0.0309460125863552,-7.00581121444702,0.1455071,-0.07406468,-0.09398194,0.4559063,0.1021685,-7.023113,0.2010037
"0.5 sec",0.1414782,-0.1929845,1.195928,0.09511426,0.116699412465096,0.0312787033617496,-7.00610113143921,0.1466254,-0.05485972,-0.08664673,0.5014947,0.1069528,-7.006845,0.1941825
"0.51 sec",0.1412954,-0.1931176,1.195928,0.09320867,0.121811047196388,0.0315485037863255,-7.00623035430908,0.1475782,-0.05649522,-0.05367054,0.5014947,0.1069528,-7.006845,0.1941825
"0.52 sec",0.1411289,-0.1932386,1.195928,0.09147474,0.126961842179298,0.0317923724651337,-7.00597476959229,0.1484452,-0.08370481,-0.005278306,0.5014947,0.1069528,-7.006845,0.1941825
"0.53 sec",0.1409661,-0.1933567,1.195928,0.08977997,0.132162660360336,0.0320402644574642,-7.00533390045166,0.1492925,-0.1135872,0.03845739,0.5014947,0.1069528,-7.006845,0.1941825
"0.54 sec",0.08088729,-0.1101866,2.077167,0.08807218,0.137426823377609,0.0323204174637794,-7.00430583953857,0.1501464,-0.1384837,0.0721681,0.5014947,0.1069528,-7.006845,0.1941825
