Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.9948376,0.2132964,0.3284477,-6.979475,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.1680236,-0.170447,0.5,5.979641
"0.01 sec",0.9948376,0.2132964,0.3284477,-6.979475,1.149419e-06,1.137331e-06,-6.999794,0.0004343654,0.0004302935,0.03984202,0.004721938,-0.01987457,0.0195407,3.194482,-3.232759,0.558138,5.979239,0.1672208,-0.1712344,0.5,5.979641
"0.02 sec",0.9948376,0.2132964,0.3284477,-6.979475,1.482734e-05,1.472992e-05,-6.999203,0.002655169,0.002643018,0.07823418,0.009658886,-0.05565576,0.05446329,3.565264,-3.605745,0.6899351,5.979245,0.1663776,-0.1720534,0.5,5.979641
"0.03 sec",0.9948376,0.2132964,0.3284477,-6.979475,6.125257e-05,6.106825e-05,-6.998228,0.006957633,0.006958387,0.1168547,0.01460128,-0.08956756,0.08720598,2.987383,-3.01036,0.7583908,5.979242,0.1655294,-0.1728689,0.5,5.979641
"0.04 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.0001598131,0.0001598949,-6.996865,0.01300728,0.0130694,0.1557832,0.01956533,-0.1164162,0.1127276,2.225932,-2.231068,0.7497648,5.979246,0.1047867,-0.1095893,0.5,9.371803
"0.05 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.0003443869,0.0003459638,-6.99527,0.02416684,0.02442133,0.1624108,0.024556,-0.1284856,0.123886,0.415345,-0.3435443,0.542402,9.371603,0.07030205,-0.07403187,0.5,13.88222
"0.06 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.0006705024,0.0006765732,-6.993828,0.0410834,0.04174682,0.1249917,0.02955442,-0.1244164,0.1196113,-0.8720035,0.9931972,0.3798866,13.88192,0.06993146,-0.07438195,0.5,13.88222
"0.07 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.001161949,0.001177033,-6.992772,0.05694854,0.05809594,0.08615222,0.03454791,-0.113322,0.1086376,-1.100073,1.218833,0.3660699,13.87919,0.06955951,-0.07472983,0.5,13.88222
"0.08 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.001804194,0.001833321,-6.992106,0.07124695,0.07291095,0.04696736,0.03954125,-0.1022691,0.09765737,-0.9562329,1.051956,0.3961472,13.88141,0.06918585,-0.07507581,0.5,13.88222
"0.09 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.002582289,0.002630677,-6.991833,0.08416966,0.0863574,0.00750439,0.04453683,-0.09346006,0.08873992,-0.7254189,0.7943464,0.4287806,13.88122,0.07348004,-0.08056704,0.5,13.00143
"0.1 sec",1.045172,0.2000935,0.3425097,-7.007611,0.003480557,0.003553254,-6.991915,0.09534036,0.09801132,-0.02363039,0.04953476,-0.08774448,0.0826665,-0.4238189,0.4612269,0.4614508,13.00305,0.06843285,-0.07576258,0.5,13.88222
"0.11 sec",1.045172,0.2000935,0.3425097,-7.007611,0.004490529,0.004592439,-6.992348,0.1065816,0.1097508,-0.0631712,0.05453383,-0.08398937,0.0784067,-0.3359796,0.3647114,0.4710457,13.88005,0.06805363,-0.0761033,0.5,13.88222
"0.12 sec",1.045172,0.2000935,0.3425097,-7.007611,0.005610614,0.005746633,-6.993179,0.1173678,0.1210174,-0.1030147,0.05953328,-0.08124214,0.07509743,-0.243116,0.2633478,0.4799062,13.87874,0.06767268,-0.0764421,0.5,13.88222
"0.13 sec",1.045172,0.2000935,0.3425097,-7.007611,0.006836745,0.007011584,-6.994408,0.1278115,0.1319229,-0.1429125,0.064533,-0.07941435,0.07265322,-0.166782,0.180288,0.4866019,13.88138,0.06729002,-0.07677902,0.5,13.88222
"0.14 sec",1.045172,0.2000935,0.3425097,-7.007611,0.008166066,0.008384259,-6.996037,0.1380214,0.1425782,-0.1828481,0.06953287,-0.07829802,0.07087877,-0.1104334,0.1192027,0.4912512,13.88124,0.06868716,-0.07917796,0.5,13.52271
"0.15 sec",1.045172,0.2000935,0.3425097,-7.007611,0.009595453,0.00986133,-6.998048,0.1478349,0.1528126,-0.2193221,0.07453284,-0.07792909,0.0697899,-0.03738126,0.03788017,0.4970507,13.52345,0.1549361,-0.1824054,0.5,5.979641
"0.16 sec",1.045172,0.2000935,0.3425097,-7.007611,0.01109738,0.011414,-7.000067,0.152531,0.1576942,-0.1825793,0.07952653,-0.09009042,0.07926551,1.640862,-1.940805,0.652194,5.979937,0.1540284,-0.1831701,0.5,5.97964
"0.17 sec",1.045172,0.2000935,0.3425097,-7.007611,0.01264944,0.01301857,-7.001699,0.1580783,0.1634185,-0.1437397,0.08450743,-0.1120434,0.09685338,1.842551,-2.175949,0.7086067,5.981254,0.1531193,-0.1839281,0.5,5.979641
"0.18 sec",1.045172,0.2000935,0.3425097,-7.007611,0.01426285,0.01468632,-7.002941,0.1647858,0.1703165,-0.104655,0.08948994,-0.1329108,0.113355,1.546559,-1.820958,0.7046783,5.981603,0.162683,-0.08914975,0.5,5.911215
"0.19 sec",1.045172,0.2000935,0.3425097,-7.007611,0.01594738,0.01642785,-7.003788,0.1721449,0.1781348,-0.06470134,0.09448514,-0.13838,0.127352,1.349427,0.4477877,0.4421289,5.912309,0.1746845,0.03935917,0.5,5.904359
"0.2 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.01770385,0.01825151,-7.004235,0.1789015,0.1867032,-0.0246275,0.09949833,-0.1155389,0.1400309,1.259485,3.497606,0.01060054,5.906298,0.1503609,-0.1861814,0.5,5.979641
"0.21 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.0195204,0.02016422,-7.004284,0.1842921,0.1959133,0.01465541,0.1045049,-0.1044621,0.1479609,0.5291328,-0.4593673,0.5711407,5.978447,0.1494323,-0.1869244,0.5,5.979641
"0.22 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.02139021,0.02217091,-7.003941,0.1897838,0.2054699,0.05398413,0.1095036,-0.1170756,0.1507761,0.1935454,-1.598032,0.7449868,5.978844,0.1485015,-0.1876615,0.5,5.979641
"0.23 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.02331907,0.02427435,-7.003204,0.1961527,0.2152462,0.09343778,0.1145036,-0.1347371,0.1512354,0.05046512,-1.639368,0.7510987,5.978622,0.1475669,-0.188394,0.5,5.979641
"0.24 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.02531644,0.0264763,-7.002072,0.2034675,0.2251639,0.1330256,0.1195046,-0.1506598,0.1506864,-0.002951985,-1.331523,0.7022901,5.978772,0.0902313,-0.1154266,0.5,9.695462
"0.25 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.02741393,0.02880674,-7.000716,0.2162082,0.2409701,0.137295,0.1245056,-0.1544809,0.1431993,-1.089808,0.4078537,0.4401649,9.693557,0.0646311,-0.08333531,0.5,13.44058
"0.26 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.02966308,0.03131966,-6.999501,0.2335497,0.2613979,0.1046687,0.1294972,-0.1442687,0.1275619,-1.686752,1.485867,0.3069533,13.43619,0.06216923,-0.08097839,0.5,13.88222
"0.27 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.03208221,0.03402951,-6.998645,0.2499847,0.2801569,0.0663245,0.1344829,-0.1288626,0.1101735,-1.580159,1.585212,0.3221445,13.88177,0.06825519,-0.03449483,0.5,13.85047
"0.28 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.03465583,0.03691452,-6.998175,0.2643231,0.2964763,0.02763199,0.1394682,-0.1092541,0.09616083,-1.116468,2.191448,0.2865604,13.86075,0.08594132,0.04789428,0.5,12.7598
"0.29 sec",0.9975719,0.2303306,0.3476363,-6.994742,0.03735395,0.03994718,-6.998043,0.2746474,0.3097853,-0.001027523,0.1444557,-0.07892083,0.08849464,-0.4169588,3.517157,0.1874063,12.76407,0.05211767,0.08180598,0.5,11.33106
"0.3 sec",1.04138,0.2380519,0.3813495,-6.983689,0.04013065,0.04309929,-6.998129,0.2799656,0.320374,-0.01597867,0.1494422,-0.04073608,0.08178208,-0.7650012,3.892534,0.1806086,11.33196,0.1409374,-0.1933775,0.5,5.979641
"0.31 sec",1.04138,0.2380519,0.3813495,-6.983689,0.04293717,0.0463297,-6.99811,0.2812692,0.3256194,0.02119213,0.154438,-0.0369453,0.08430865,0.9586006,-1.952127,0.66558,5.980121,0.166107,-0.04106778,0.5,5.896057
"0.32 sec",1.04138,0.2380519,0.3813495,-6.983689,0.04575802,0.04961357,-6.997701,0.2829813,0.3313178,0.0606119,0.1594296,-0.04861622,0.0990598,1.793735,-0.4959032,0.5506229,5.896561,0.1870653,0.09837983,0.5,5.941891
"0.33 sec",1.04138,0.2380519,0.3813495,-6.983689,0.04859641,0.05295983,-6.9969,0.2845167,0.3381093,0.09971558,0.1644427,-0.03459,0.1191961,2.104053,2.699144,0.1827715,5.941288,0.1394171,0.1005529,0.5,8.27694
"0.34 sec",1.04138,0.2380519,0.3813495,-6.983689,0.05144304,0.05639273,-6.995817,0.2843606,0.3486587,0.1163291,0.1694649,-0.004045713,0.1332425,0.8794829,3.219209,0.07448747,8.276368,0.09431312,0.06700237,0.5,12.2575
"0.35 sec",1.04138,0.2380519,0.3813495,-6.983689,0.05426952,0.05995846,-6.99476,0.2803843,0.364524,0.09398334,0.1744672,0.02197361,0.1336526,-0.5393425,2.136925,0.2165309,12.25566,0.08506901,0.05975396,0.5,13.63365
"0.36 sec",1.04138,0.2380519,0.3813495,-6.983689,0.05703921,0.06368776,-6.994002,0.2732043,0.3811152,0.057309,0.1794605,0.03804392,0.1250747,-1.060454,1.2585,0.3446892,13.63275,0.08723775,0.06063706,0.5,13.34187
"0.37 sec",1.04138,0.2380519,0.3813495,-6.983689,0.05972956,0.06757363,-6.993601,0.2646942,0.3957847,0.0229988,0.1844556,0.04742047,0.1148727,-0.9820856,0.7646747,0.4141657,13.34286,0.09488212,0.065286,0.5,12.31211
"0.38 sec",1.04138,0.2380519,0.3813495,-6.983689,0.06233378,0.07159375,-6.993494,0.2560633,0.4080306,-0.001372384,0.1894531,0.05348885,0.1072066,-0.627655,0.5573567,0.4420284,12.31503,0.01962262,0.08775537,0.5,11.14167
"0.39 sec",1.04138,0.2380519,0.3813495,-6.983689,0.06485304,0.07572512,-6.993573,0.2477249,0.417933,-0.01423573,0.1944486,0.06032813,0.09366373,-1.831354,0.8159035,0.4239503,11.1432,-0.072684,0.113667,0.5,10.31364
"0.4 sec",0.9777842,0.286211,0.4047857,-6.97519,0.0672896,0.0799414,-6.99374,0.239514,0.4247602,-0.01892681,0.1994332,0.07089749,0.06425214,-3.611152,1.230618,0.4184383,10.31485,0.1311637,-0.2000905,0.5,5.979641
