Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.9948376,0.2132964,0.3284477,-6.979475,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.04128778,-0.149263,0.1450403,0.5874674
"0.01 sec",0.9948376,0.2132964,0.3284477,-6.979475,9.905976e-08,2.745875e-08,-6.999537,3.745493e-05,1.038894e-05,0.09237617,0.001371371,-0.01738349,0.004801387,0.7849733,-2.834152,0.1575464,0.5874444,0.1198364,-0.1472002,0.2732006,2.59472
"0.02 sec",0.9948376,0.2132964,0.3284477,-6.979475,3.93902e-06,1.329208e-06,-6.998248,0.0008737069,0.0003315993,0.1650607,0.004010779,-0.04833421,0.02254132,2.376027,-3.120313,0.339566,2.594476,0.1464444,-0.1374127,0.2732373,4.604374
"0.03 sec",0.9948376,0.2132964,0.3284477,-6.979475,2.577874e-05,1.179316e-05,-6.996331,0.003729081,0.001988668,0.217755,0.006703982,-0.07618262,0.0501451,2.921492,-2.406327,0.3899105,4.604004,0.1317955,-0.06667729,0.3114111,7.925486
"0.04 sec",0.9948376,0.2132964,0.3284477,-6.979475,9.467547e-05,5.497903e-05,-6.99405,0.01026389,0.007033509,0.2378902,0.00978004,-0.08862358,0.07583711,2.251971,-0.3625185,0.3381076,7.924864,0.1075145,-0.07440847,0.377523,11.81708
"0.05 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.0002484266,0.000173616,-6.991757,0.02056517,0.01708708,0.2197061,0.01352036,-0.08915047,0.09193821,1.152381,0.2106201,0.3582926,11.81683,0.09258157,-0.06743839,0.3959402,13.34649
"0.06 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.0005113303,0.0004081338,-6.989727,0.03195742,0.02999464,0.1858519,0.01747131,-0.08564527,0.09825974,0.3069551,0.4887562,0.3482821,13.34572,0.07845042,-0.05391861,0.4135611,13.58303
"0.07 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.0008861525,0.0007758618,-6.988051,0.04286164,0.04354143,0.1493006,0.02159756,-0.07942708,0.09748521,-0.2783256,0.7446942,0.3412772,13.58164,0.06637555,0.02134242,0.4305851,13.57697
"0.08 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.001364139,0.001277501,-6.986742,0.05236969,0.05666217,0.112602,0.02589023,-0.06373481,0.09214871,-0.6311931,2.110174,0.2358208,13.5777,0.05813229,0.05021228,0.4507306,13.54569
"0.09 sec",0.9948376,0.2132964,0.3284477,-6.979475,0.001923877,0.001905829,-6.985798,0.05900968,0.06881952,0.07595127,0.03037737,-0.03885005,0.08455307,-0.7746812,2.6777,0.2239497,13.54671,0.04961357,0.04252241,0.4602101,13.38703
