Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0.23 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.01837154,0.01891225,-7.009361,0.2136512,0.2214365,-0.09251861,0.1145609,-0.08864067,0.0736893,-0.3939812,0.4661295,0.4648696,13.88128,0.07173576,-0.09067038,0.5,12.2657
"0.24 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.02055637,0.02117731,-7.010409,0.2232397,0.2314924,-0.1167027,0.1195605,-0.08646875,0.07102115,-0.09528816,0.09742151,0.4924529,12.26656,0.1070619,-0.1372512,0.5,8.175239
"0.25 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.02282138,0.02352635,-7.011502,0.2297508,0.2382982,-0.100866,0.1245594,-0.0920392,0.07443853,0.6964299,-0.9114085,0.5669568,8.177387,0.1315398,-0.1710089,0.5,6.617944
"0.26 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.02514743,0.02593902,-7.012352,0.2355672,0.2443432,-0.06881345,0.1295523,-0.1065585,0.08469909,1.2853,-1.675576,0.6401819,6.619031,0.1289141,-0.1692778,0.5,6.708525
"0.27 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.02753631,0.02841682,-7.012882,0.2423724,0.2513817,-0.03705615,0.1345422,-0.1235016,0.09670271,1.184198,-1.53978,0.646998,6.708048,0.05548834,-0.1309728,0.5,7.525232
"0.28 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.03000201,0.03097358,-7.013132,0.2508996,0.2600289,-0.01300982,0.1395405,-0.1332785,0.09815131,-0.4574987,-0.4615828,0.5435665,7.523743,-0.04354678,-0.03587831,0.5,8.556994
"0.29 sec",0.6847452,0.3143391,0.2592965,-7.052383,0.03256074,0.03362108,-7.013191,0.260785,0.2692116,0.0008595137,0.1445309,-0.1247689,0.07874238,-2.745639,1.769879,0.3555694,8.552545,-0.1015932,0.0328164,0.5,9.518158
"0.3 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.0352184,0.03635285,-7.013161,0.2704117,0.2765259,0.004806362,0.1494785,-0.09666938,0.0421563,-4.014492,3.424218,0.3465619,9.515111,-0.05382912,-0.06500437,0.5,13.8593
"0.31 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.03797821,0.03914702,-7.013301,0.2812482,0.2815282,-0.03404501,0.1544348,-0.07391258,0.008382311,-2.721505,1.406359,0.4847034,13.85735,-0.08235079,-0.06033775,0.5,13.88222
"0.32 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.04083876,0.04196945,-7.013844,0.2907434,0.282338,-0.07443066,0.1594212,-0.06446183,-0.01755068,-2.32889,0.5820403,0.508482,13.87596,-0.08265045,-0.05992617,0.5,13.88222
