Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.6806784,0.3010184,0.2437599,-7.061348,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.01068044,0.05975684,0.1301244,2.063935
"0.01 sec",0.6806784,0.3010184,0.2437599,-7.061348,-1.393645e-07,2.483969e-08,-6.999608,-5.269875e-05,9.384959e-06,0.07798995,0.001234999,0.006958231,0.001246168,0.202506,1.134805,0.1288205,2.063785,0.03497974,-0.1372087,0.2343529,3.926652
"0.02 sec",0.6806784,0.3010184,0.2437599,-7.061348,-1.919442e-06,6.050189e-07,-6.998529,-0.0002333615,0.0001412553,0.137302,0.003522107,-0.003501854,0.006304527,0.6867994,-2.473047,0.2491223,3.926551,0.0701853,-0.09440901,0.30159,5.631926
"0.03 sec",0.6806784,0.3010184,0.2437599,-7.061348,-9.680875e-07,4.671665e-06,-6.996943,0.0006544297,0.0007836923,0.1795324,0.00648996,-0.02790724,0.01754768,1.377206,-2.298,0.3402393,5.6318,0.08993815,-0.05133875,0.2920929,7.872473
"0.04 sec",0.6806784,0.3010184,0.2437599,-7.061348,1.881503e-05,2.141107e-05,-6.995044,0.003517057,0.002789568,0.1995618,0.0094028,-0.04350623,0.03360184,1.703761,-0.9728766,0.3237954,7.871391,0.07849938,-0.05946506,0.3129941,8.837534
"0.05 sec",0.6806784,0.3010184,0.2437599,-7.061348,7.41527e-05,6.660463e-05,-6.992997,0.007663524,0.006476215,0.2097099,0.01251618,-0.05086736,0.04826039,1.260727,-0.5184216,0.3376378,8.836982,0.07128453,-0.06351185,0.3690689,10.57113
"0.06 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0001778875,0.0001589544,-6.990932,0.01317659,0.01218748,0.2028433,0.0161758,-0.05533305,0.05788306,0.7462841,-0.3442187,0.3889294,10.57062,0.06509127,-0.06077971,0.3768827,12.50748
"0.07 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0003439073,0.0003185694,-6.989032,0.02010135,0.01986918,0.1767952,0.01993989,-0.05801746,0.06276961,0.327013,-0.1655121,0.3873637,12.50703,0.05909074,-0.05021837,0.3856377,13.08037
"0.08 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0005819933,0.0005594388,-6.987423,0.02751973,0.02834503,0.1447247,0.02379172,-0.05816881,0.06404343,0.02354832,0.1282692,0.3775496,13.07964,0.0537351,0.01509714,0.3993023,13.30487
"0.09 sec",0.6806784,0.3010184,0.2437599,-7.061348,0.0008934067,0.0008861985,-6.986148,0.03455325,0.03698273,0.1102998,0.02777704,-0.04905626,0.06285968,-0.1735166,1.437982,0.3089525,13.29758,0.04811357,0.0339583,0.4230815,13.2965
"0.1 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.001266662,0.001298073,-6.985218,0.03970148,0.04532193,0.07579821,0.03199308,-0.03148532,0.06009015,-0.3072288,1.928181,0.3073067,13.29733,0.04218739,-0.007363191,0.440639,13.10677
"0.11 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.001679498,0.001790437,-6.984623,0.04257121,0.05305546,0.04304355,0.03638771,-0.01803333,0.05623934,-0.4034572,0.9255658,0.3889542,13.11076,0.0426774,-0.01522888,0.4560035,12.74389
"0.12 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.002113883,0.002356362,-6.984339,0.04419063,0.0600392,0.01381263,0.04093869,-0.01266589,0.0523741,-0.3462106,0.2874969,0.4414687,12.74454,0.04532396,0.01879448,0.4617816,12.14982
"0.13 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.002561326,0.002988264,-6.984319,0.045188,0.0662739,-0.009573779,0.04555283,-0.007524526,0.04959633,-0.2107995,0.6815472,0.4284322,12.15045,0.04303281,0.008720807,0.4646371,11.39568
"0.14 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.003015031,0.003679071,-6.984495,0.04544407,0.07183639,-0.02548775,0.05019715,-0.001949565,0.04764561,-0.1721612,0.4839137,0.4420475,11.3968,0.03450136,-0.01015154,0.4604307,10.81928
"0.15 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.003468684,0.004422866,-6.984801,0.04525757,0.07686894,-0.03561128,0.05480341,-0.0003211646,0.0451528,-0.2894176,-0.02675907,0.4621143,10.81992,0.02331023,-0.02963101,0.4517551,10.50716
"0.16 sec",0.6167006,0.3146538,0.2234707,-7.0641,0.003920538,0.005214659,-6.985193,0.04518035,0.08141623,-0.04256431,0.05932617,-0.003993778,0.04098871,-0.4813689,-0.5475475,0.4747243,10.50797,0.01420363,-0.03885301,0.4407918,10.19186
