Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.4712389,0.348944,0.1777958,-6.979475,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.1680236,-0.170447,0.5,5.979641
"0.01 sec",0.4712389,0.348944,0.1777958,-6.979475,1.149419e-06,1.137331e-06,-6.999794,0.0004343654,0.0004302935,0.03984202,0.004721938,-0.01987457,0.0195407,3.194482,-3.232759,0.558138,5.979239,0.1672208,-0.1712344,0.5,5.979641
"0.02 sec",0.4712389,0.348944,0.1777958,-6.979475,1.482734e-05,1.472992e-05,-6.999203,0.002655169,0.002643018,0.07823418,0.009658886,-0.05565576,0.05446329,3.565264,-3.605745,0.6899351,5.979245,0.1663776,-0.1720534,0.5,5.979641
"0.03 sec",0.4712389,0.348944,0.1777958,-6.979475,6.125257e-05,6.106825e-05,-6.998228,0.006957633,0.006958387,0.1168547,0.01460128,-0.08956756,0.08720598,2.987383,-3.01036,0.7583908,5.979242,0.1655294,-0.1728689,0.5,5.979641
"0.04 sec",0.4712389,0.348944,0.1777958,-6.979475,0.0001598131,0.0001598949,-6.996865,0.01300728,0.0130694,0.1557832,0.01956533,-0.1164162,0.1127276,2.225932,-2.231068,0.7497648,5.979246,0.1047867,-0.1095893,0.5,9.371803
"0.05 sec",0.4712389,0.348944,0.1777958,-6.979475,0.0003443869,0.0003459638,-6.99527,0.02416684,0.02442133,0.1624108,0.024556,-0.1284856,0.123886,0.415345,-0.3435443,0.542402,9.371603,0.07030205,-0.07403187,0.5,13.88222
"0.06 sec",0.4712389,0.348944,0.1777958,-6.979475,0.0006705024,0.0006765732,-6.993828,0.0410834,0.04174682,0.1249917,0.02955442,-0.1244164,0.1196113,-0.8720035,0.9931972,0.3798866,13.88192,0.06993146,-0.07438195,0.5,13.88222
"0.07 sec",0.4712389,0.348944,0.1777958,-6.979475,0.001161949,0.001177033,-6.992772,0.05694854,0.05809594,0.08615222,0.03454791,-0.113322,0.1086376,-1.100073,1.218833,0.3660699,13.87919,0.06955951,-0.07472983,0.5,13.88222
"0.08 sec",0.4712389,0.348944,0.1777958,-6.979475,0.001804194,0.001833321,-6.992106,0.07124695,0.07291095,0.04696736,0.03954125,-0.1022691,0.09765737,-0.9562329,1.051956,0.3961472,13.88141,0.06918585,-0.07507581,0.5,13.88222
"0.09 sec",0.4712389,0.348944,0.1777958,-6.979475,0.002582289,0.002630677,-6.991833,0.08416966,0.0863574,0.00750439,0.04453683,-0.09346006,0.08873992,-0.7254189,0.7943464,0.4287806,13.88122,0.07348004,-0.08056704,0.5,13.00143
"0.1 sec",0.419529,0.361011,0.1630146,-6.968707,0.003480557,0.003553254,-6.991915,0.09534036,0.09801132,-0.02363039,0.04953476,-0.08774448,0.0826665,-0.4238189,0.4612269,0.4614508,13.00305,0.1594229,-0.1785077,0.5,5.979641
"0.11 sec",0.419529,0.361011,0.1630146,-6.968707,0.004460515,0.004561062,-6.991975,0.1005865,0.1034774,0.01334044,0.05453116,-0.09596832,0.08898717,1.394302,-1.577253,0.6393852,5.979932,0.1585338,-0.1792959,0.5,5.97964
"0.12 sec",0.419529,0.361011,0.1630146,-6.968707,0.005495048,0.005625539,-6.991647,0.1064913,0.1095891,0.0522529,0.0595168,-0.1147814,0.104578,1.687273,-1.902791,0.6975579,5.981361,0.1576428,-0.180078,0.5,5.979641
"0.13 sec",0.419529,0.361011,0.1630146,-6.968707,0.006593817,0.00675635,-6.990929,0.1134279,0.1167411,0.09139386,0.06450249,-0.133378,0.1198341,1.449836,-1.629691,0.6941849,5.981502,0.1079001,-0.1235948,0.5,8.667986
"0.14 sec",0.419529,0.361011,0.1630146,-6.968707,0.00778254,0.00797987,-6.989944,0.1244964,0.1281509,0.1049851,0.06949863,-0.1417442,0.1261514,0.16414,-0.1471045,0.5175974,8.667186,0.07556381,-0.087147,0.5,12.2946
"0.15 sec",0.419529,0.361011,0.1630146,-6.968707,0.009106376,0.009342845,-6.988999,0.1402737,0.1444554,0.083197,0.07449672,-0.1365573,0.1207897,-0.8686721,1.041909,0.3720273,12.29274,0.02673561,-0.07655709,0.5,13.46741
"0.16 sec",0.419529,0.361011,0.1630146,-6.968707,0.01059104,0.01087167,-6.988336,0.1564362,0.1609735,0.04892762,0.07948615,-0.1240236,0.1046393,-1.936879,1.418358,0.3484841,13.46345,-0.05473621,-0.07208189,0.5,13.15294
"0.17 sec",0.419529,0.361011,0.1630146,-6.968707,0.0122281,0.01255065,-6.988007,0.1707171,0.1741474,0.01686684,0.08446517,-0.1102595,0.07496715,-3.429785,1.347822,0.3947337,13.15385,-0.08898035,-0.07535926,0.5,12.16254
"0.18 sec",0.419529,0.361011,0.1630146,-6.968707,0.01399633,0.01433572,-6.987954,0.1827409,0.1820529,-0.006051417,0.08944198,-0.09879587,0.03646771,-3.868737,0.9965219,0.4595,12.16509,-0.09836438,-0.08253325,0.5,11.05154
"0.19 sec",0.419529,0.361011,0.1630146,-6.968707,0.01587553,0.01617416,-6.988077,0.1930007,0.1849294,-0.01823163,0.09442684,-0.09137361,-0.001072312,-3.422463,0.5461776,0.4974725,11.05321,-0.10725,-0.08915229,0.5,10.1811
"0.2 sec",0.4634348,0.3685957,0.1933003,-6.981157,0.01785184,0.01802168,-6.988277,0.2022386,0.1840398,-0.02173881,0.09942079,-0.08800869,-0.03277846,-2.777354,0.1614777,0.5033432,10.18225,0.06457378,-0.07907581,0.5,13.88222
"0.21 sec",0.4634348,0.3685957,0.1933003,-6.981157,0.01993623,0.01984241,-6.988686,0.2146854,0.1800054,-0.06089034,0.1044201,-0.08595958,-0.03718128,1.236231,0.1923229,0.5057651,13.88027,0.06417806,-0.07939708,0.5,13.88222
