Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.4712389,0.348944,0.1777958,-6.979475,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.06868772,-0.149263,0.08055536,-0.552527
"0.01 sec",0.4712389,0.348944,0.1777958,-6.979475,-9.31687e-08,-4.290886e-08,-6.999483,-3.522749e-05,-1.622816e-05,0.1034834,0.0007564848,-0.01738334,0.007995234,1.304943,-2.834118,0.1014002,-0.5525036,0.1678952,-0.1705734,0.5,5.979641
"0.02 sec",0.4712389,0.348944,0.1777958,-6.979475,7.607707e-06,4.127006e-06,-6.99824,0.00194095,0.001129023,0.143511,0.005498481,-0.05107922,0.03384588,3.357502,-3.557011,0.614071,5.979375,0.1289195,0.03345898,0.4932628,8.070432
"0.03 sec",0.4712389,0.348944,0.1777958,-6.979475,5.00462e-05,3.329608e-05,-6.996712,0.006691359,0.005125965,0.1616864,0.01041434,-0.06123981,0.06349544,2.609482,0.7958252,0.4435762,8.068067,0.1027521,-0.04401977,0.5090203,12.32101
"0.04 sec",0.4712389,0.348944,0.1777958,-6.979475,0.0001519802,0.0001279193,-6.995207,0.01361602,0.01425574,0.1382076,0.01550284,-0.05499537,0.0824684,1.374487,0.5403181,0.4656831,12.32077,0.0893105,-0.001716301,0.516103,13.31897
"0.05 sec",0.4712389,0.348944,0.1777958,-6.979475,0.000321858,0.0003280634,-6.993995,0.0201564,0.02597659,0.1040537,0.02066377,-0.04601695,0.09079208,0.4693367,1.168041,0.4116066,13.3175,0.07794077,0.04948317,0.5241404,13.43518
"0.06 sec",0.4712389,0.348944,0.1777958,-6.979475,0.0005494647,0.0006498625,-6.993132,0.024961,0.03840121,0.06849598,0.02590176,-0.02861625,0.09181076,-0.1200726,2.114441,0.3313237,13.43467,0.07067654,0.04394329,0.5282807,13.21495
"0.07 sec",0.4712389,0.348944,0.1777958,-6.979475,0.0008117426,0.00109434,-6.992615,0.02704409,0.05040722,0.034957,0.03117924,-0.008581712,0.08863311,-0.4223168,1.90079,0.3610152,13.22165,0.06506104,0.02744036,0.5305743,12.47996
"0.08 sec",0.4712389,0.348944,0.1777958,-6.979475,0.001082328,0.001652848,-6.992398,0.02676526,0.06116134,0.008532701,0.03647998,0.006008983,0.08353453,-0.5459818,1.158698,0.4350849,12.48114,0.05930559,0.021439,0.5293013,11.08882
"0.09 sec",0.4712389,0.348944,0.1777958,-6.979475,0.001343158,0.002309729,-6.992379,0.02525325,0.07007155,-0.004244107,0.04177119,0.014057,0.07769988,-0.5915684,0.5941547,0.4844201,11.08969,0.04155178,-0.008080582,0.506833,9.491715
"0.1 sec",0.4161545,0.3599851,0.1614467,-7.008365,0.001586999,0.003046168,-6.992408,0.02351518,0.07706553,-0.001197734,0.04685078,0.01458728,0.07023361,-0.8297451,-0.2529293,0.5259359,9.492551,-0.01326175,-0.04413328,0.4645016,9.91945
