Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0 sec",0.2617994,0.37414,0.1002505,-6.938652,0,0,-7,0,0,0,0,0,0,0,0,0,0,0.1680236,-0.170447,0.5,5.979641
"0.01 sec",0.2617994,0.37414,0.1002505,-6.938652,1.149419e-06,1.137331e-06,-6.999794,0.0004343654,0.0004302935,0.03984202,0.004721938,-0.01987457,0.0195407,3.194482,-3.232759,0.558138,5.979239,0.1672208,-0.1712344,0.5,5.979641
"0.02 sec",0.2617994,0.37414,0.1002505,-6.938652,1.482734e-05,1.472992e-05,-6.999203,0.002655169,0.002643018,0.07823418,0.009658886,-0.05565576,0.05446329,3.565264,-3.605745,0.6899351,5.979245,0.1663776,-0.1720534,0.5,5.979641
"0.03 sec",0.2617994,0.37414,0.1002505,-6.938652,6.125257e-05,6.106825e-05,-6.998228,0.006957633,0.006958387,0.1168547,0.01460128,-0.08956756,0.08720598,2.987383,-3.01036,0.7583908,5.979242,0.1655294,-0.1728689,0.4943962,5.979641
"0.04 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0001598135,0.0001598945,-6.996865,0.01300742,0.01306924,0.1557833,0.01951216,-0.1164157,0.1127281,2.225361,-2.23162,0.7442268,5.979497,0.1646828,-0.1736749,0.4845745,5.979641
"0.05 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0003256918,0.0003269496,-6.995111,0.02034703,0.02053085,0.1950117,0.02434435,-0.1359559,0.1308601,1.553476,-1.550593,0.6870726,5.979434,0.1638459,-0.1744638,0.4749101,5.979641
"0.06 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0005697086,0.0005736647,-6.992964,0.02857672,0.02894164,0.2344849,0.02908987,-0.1495398,0.1429901,1.04076,-1.034348,0.6228259,5.977108,0.07559463,-0.08036525,0.4654191,12.85033
"0.07 sec",0.2617994,0.37414,0.1002505,-6.938652,0.0009456527,0.0009555806,-6.990741,0.04679301,0.04764001,0.2085613,0.03374676,-0.1476929,0.1405554,-0.9843385,1.110109,0.3073169,12.84915,0.06961931,-0.07467414,0.4561053,13.88222
"0.08 sec",0.2617994,0.37414,0.1002505,-6.938652,0.001508098,0.001529334,-6.988842,0.06540358,0.06682231,0.1707075,0.03830187,-0.1332758,0.126451,-1.525792,1.679601,0.2407901,13.87849,0.06927876,-0.07499011,0.446995,13.88222
"0.09 sec",0.2617994,0.37414,0.1002505,-6.938652,0.002246574,0.00228489,-6.987329,0.08193442,0.08393005,0.1320422,0.04276317,-0.1173364,0.1109778,-1.396651,1.530787,0.2749076,13.88004,0.06894384,-0.07529805,0.4380724,13.88222
"0.1 sec",0.208784,0.3859563,0.08430911,-6.960361,0.003140161,0.003201255,-6.986203,0.09648628,0.09904233,0.09291642,0.04713902,-0.1041014,0.09802582,-1.085463,1.185042,0.3205463,13.88027,-0.06365749,-0.06936607,0.32329,13.87139
"0.11 sec",0.208784,0.3859563,0.08430911,-6.960361,0.004171134,0.004258342,-6.985471,0.1094949,0.1117796,0.05350564,0.0504177,-0.09362548,0.07290751,-3.29977,0.9523007,0.2515684,13.87507,-0.07564545,-0.06856238,0.3167326,13.88222
"0.12 sec",0.208784,0.3859563,0.08430911,-6.960361,0.005326576,0.005421754,-6.985135,0.1214495,0.1200666,0.01355679,0.05357309,-0.08547089,0.0370457,-3.565403,0.7099855,0.2881528,13.88019,-0.07586124,-0.06832345,0.3104219,13.88222
"0.13 sec",0.208784,0.3859563,0.08430911,-6.960361,0.00659777,0.006643225,-6.9852,0.1326949,0.1234579,-0.02666112,0.05667001,-0.07953849,0.003864255,-2.952821,0.4948775,0.3067447,13.8802,-0.07607231,-0.06808828,0.304228,13.88222
"0.14 sec",0.208784,0.3859563,0.08430911,-6.960361,0.007978956,0.007877168,-6.985669,0.1434825,0.1227323,-0.06695735,0.05970968,-0.07542225,-0.02205147,-2.186214,0.329688,0.3103078,13.8817,-0.07627875,-0.06785682,0.2981487,13.88222
"0.15 sec",0.208784,0.3859563,0.08430911,-6.960361,0.009466476,0.009087652,-6.986539,0.1539848,0.1189361,-0.1072277,0.06269145,-0.07264391,-0.04068915,-1.521101,0.2125806,0.3060749,13.88155,-0.0764806,-0.06762916,0.2921852,13.88222
"0.16 sec",0.208784,0.3859563,0.08430911,-6.960361,0.01105808,0.01024877,-6.987813,0.1643149,0.1129951,-0.1474365,0.06561505,-0.07079177,-0.05346326,-1.017309,0.133708,0.2989407,13.88184,-0.1089227,-0.0960177,0.286338,9.782368
"0.17 sec",0.208784,0.3859563,0.08430911,-6.960361,0.01273841,0.01135256,-6.989294,0.171728,0.1076174,-0.1477846,0.06848264,-0.07288342,-0.06571537,-1.274182,-0.4600904,0.2562058,9.786414,-0.1792441,-0.1585926,0.2806028,5.979641
"0.18 sec",0.208784,0.3859563,0.08430911,-6.960361,0.01448048,0.01240841,-6.990588,0.1767543,0.1034132,-0.1101007,0.07130452,-0.08531392,-0.08617874,-2.436436,-1.744831,0.1320394,5.981604,-0.179689,-0.1580871,0.274959,5.979641
"0.19 sec",0.208784,0.3859563,0.08430911,-6.960361,0.01627712,0.01341637,-6.991495,0.1827715,0.09794948,-0.07123996,0.07408018,-0.1034019,-0.1108298,-2.324389,-1.799249,0.07716507,5.981106,-0.1801253,-0.1575885,0.2694077,5.979641
