Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"0.03 sec",0.07102633,-0.07333738,2.776445,0.5,6.04764682066161e-05,6.07424080953933e-05,-7.00172567367554,0.01471774,-0.03806566,0.03732187
"0.031 sec",0.07098975,-0.0733728,2.776444,0.5,6.76161362207495e-05,6.7929046053905e-05,-7.0018458366394,0.01521691,-0.03935402,0.03856255
"0.032 sec",0.07095314,-0.07340819,2.776444,0.5,7.52933192416094e-05,7.56590816308744e-05,-7.0019702911377,0.01571612,-0.04061025,0.03977024
"0.033 sec",0.07091652,-0.07344355,2.776444,0.5,8.35248720250092e-05,8.39498097775504e-05,-7.00209903717041,0.01621537,-0.04183396,0.04094459
"0.034 sec",0.07087986,-0.07347891,2.776444,0.5,9.23272164072841e-05,9.28181034396403e-05,-7.00223159790039,0.01671467,-0.04302491,0.04208541
"0.035 sec",0.0708432,-0.07351427,2.776445,0.5,0.000101716228527948,0.00010228028986603,-7.00236845016479,0.017214,-0.04418297,0.04319262
"0.036 sec",0.07080652,-0.07354961,2.776444,0.5,0.000111707355245017,0.000112352303403895,-7.00250911712646,0.01771338,-0.04530815,0.04426626
"0.037 sec",0.07076981,-0.07358491,2.776445,0.5,0.00012231565779075,0.000123049656394869,-7.0026535987854,0.01821279,-0.04640054,0.04530648
"0.038 sec",0.07073308,-0.07362022,2.776444,0.5,0.000133555615320802,0.000134387330035679,-7.00280237197876,0.01871223,-0.04746036,0.04631351
"0.039 sec",0.07069633,-0.07365551,2.776445,0.5,0.000145441270433366,0.000146379839861766,-7.00295543670654,0.01921172,-0.04848788,0.04728767
"0.04 sec",0.07065956,-0.07369078,2.776444,0.5,0.000157986243721098,0.000159041315782815,-7.00311231613159,0.01971123,-0.04948346,0.04822934
"0.041 sec",0.07062278,-0.07372603,2.776444,0.5,0.000171203762874939,0.000172385436599143,-7.00327301025391,0.02021078,-0.05044751,0.04913898
"0.042 sec",0.07058597,-0.07376126,2.776444,0.5,0.000185106473509222,0.00018642537179403,-7.00343799591064,0.02071035,-0.05138052,0.05001709
